location,total_sqft,size,price
Other,2400.0,4,700.0
Other,955.0,2,34.01
Uttarahalli,1425.0,3,64.0
Basavangudi,2150.0,3,265.0
Whitefield,1165.0,2,40.5
Kaggadasapura,1050.0,2,48.0
Other,1370.0,3,75.0
Electronic City,1374.0,3,72.0
Harlur,1754.0,3,124.0
Kothanur,1847.0,3,110.0
Ambedkar Nagar,1850.0,3,139.0
Chikka Tirupathi,3297.0,3,135.0
Other,1187.0,2,45.0
Bommasandra Industrial Area,1400.0,3,40.44
Other,600.0,3,30.0
Chamrajpet,1350.0,2,180.0
Doddaballapur,3000.0,3,120.0
Thanisandra,693.0,1,34.3
Dairy Circle,1980.0,3,224.0
KR Puram,1021.0,2,48.0
Thigalarapalya,1165.0,2,95.0
Horamavu Agara,1756.0,3,92.0
Bharathi Nagar,1739.0,3,105.0
Varthur,1280.0,2,65.0
Marathahalli,1215.0,2,58.86
Munnekollal,950.0,2,46.5
Kengeri,1082.0,3,49.0
Devanahalli,1080.0,2,53.35
Arekere,1100.0,2,55.0
Ardendale,3200.0,4,205.0
Sarjapur  Road,1311.0,2,78.0
Raja Rajeshwari Nagar,1608.0,3,67.98
Begur Road,1160.0,2,36.0
Whitefield,1170.0,2,71.0
Kengeri,1155.0,2,40.6
Rayasandra,1065.0,2,44.95
Neeladri Nagar,674.0,1,21.0
Ambedkar Nagar,1936.0,3,126.0
Sarakki Nagar,2289.0,3,260.0
Other,1100.0,2,38.45
Ramagondanahalli,2257.0,3,157.0
Nagarbhavi,1055.0,2,55.0
Raja Rajeshwari Nagar,1530.0,3,51.87
Other,1700.0,3,97.0
Raja Rajeshwari Nagar,1575.0,3,78.0
Frazer Town,3500.0,3,330.0
Rajiv Nagar,1263.0,2,93.32
KR Puram,1559.0,3,69.315
Kengeri Satellite Town,1043.0,2,65.0
Hennur,1255.0,2,53.5
JP Nagar,1352.5,2,93.865
Chandapura,590.0,1,13.57
Yelahanka,1550.0,3,120.0
Other,1900.0,3,160.0
Other,1360.0,3,55.0
Other,1100.0,2,75.0
8th Phase JP Nagar,1455.0,3,73.31
KR Puram,1035.0,2,40.5
Harlur,1152.0,2,69.0
Bellandur,1299.0,2,82.0
Rachenahalli,1050.0,2,52.5
Pai Layout,1050.0,2,40.0
Vittasandra,1246.0,2,67.4
Other,1929.0,3,115.0
Hennur,1285.0,2,60.0
Margondanahalli,1200.0,3,65.0
Other,3161.0,4,214.0
BTM 2nd Stage,1850.0,3,170.0
Sompura,1025.0,3,37.0
Malleshwaram,1124.0,2,80.0
Balagere,1012.0,2,54.59
Giri Nagar,4500.0,7,250.0
8th Phase JP Nagar,871.0,2,55.0
Other,1020.0,2,40.0
Rachenahalli,1550.0,3,73.5
Other,3515.0,3,420.0
Akshaya Nagar,1410.0,3,80.0
Chikka Tirupathi,3500.0,4,150.0
Whitefield,1118.0,2,75.0
Thanisandra,1098.0,2,68.0
Kanakapura,1130.0,2,45.2
Sarjapur  Road,1145.0,2,75.0
Kadugodi,950.0,3,80.0
Other,1051.0,2,33.0
Other,600.0,7,108.0
Marathahalli,1102.0,2,53.67
Jalahalli,1478.0,2,125.0
Hebbal,823.0,2,50.63
Abbigere,880.0,2,35.0
KR Puram,600.0,4,75.0
Budigere,1991.0,3,100.0
TC Palaya,1100.0,3,50.0
Gubbalala,1745.0,3,115.0
HAL 2nd Stage,1226.0,2,135.0
Begur Road,680.0,3,68.0
Other,1100.0,2,70.0
Banashankari Stage VI,1200.0,4,195.0
5th Phase JP Nagar,1450.0,2,58.0
Singasandra,3366.0,4,120.0
Sahakara Nagar,1150.0,2,54.0
Banashankari Stage VI,2200.0,4,195.0
Bommanahalli,1090.0,2,44.0
Kaggadasapura,1132.0,2,42.0
Hulimavu,1375.0,2,80.0
7th Phase JP Nagar,1500.0,4,220.0
Thanisandra,760.0,1,50.3
Kaggadasapura,1180.0,2,65.0
Jigani,918.0,2,45.0
Rachenahalli,600.0,5,50.0
Margondanahalli,1200.0,2,53.0
Other,2400.0,7,355.0
Ardendale,1728.0,3,95.0
Malleshwaram,2215.0,3,275.0
BTM 2nd Stage,1200.0,2,80.0
6th Phase JP Nagar,1280.0,2,56.0
Hulimavu,800.0,4,110.0
Other,1455.0,3,56.0
Other,440.0,1,28.0
Kanakpura Road,1500.0,3,97.0
Whitefield,1800.0,3,110.0
Mysore Road,1525.0,3,96.0
Rachenahalli,1204.0,2,38.5
Old Madras Road,1225.0,2,53.55
Kalyan nagar,800.0,6,98.0
Bannerghatta Road,1650.0,3,122.0
Electronic City,880.0,3,18.0
Other,4200.0,4,255.0
Sarjapur  Road,1152.0,4,230.0
9th Phase JP Nagar,1005.0,2,42.0
Whitefield,1562.0,3,103.0
Devanahalli,5000.0,4,395.0
Babusapalaya,810.0,6,95.0
Ramamurthy Nagar,1200.0,2,42.0
Kasavanhalli,1555.0,3,82.5
KR Puram,1550.0,2,71.0
Whitefield,1190.0,2,67.0
Chikkalasandra,1070.0,2,50.0
Sarjapur  Road,1800.0,2,28.785
Jalahalli East,1020.0,2,42.48
Yelahanka,1610.0,3,115.0
Other,1300.0,3,49.0
Hebbal,1420.0,2,123.0
Vidyaranyapura,1200.0,9,100.0
Hebbal,1069.0,3,65.4
Marathahalli,1900.0,3,123.0
Old Airport Road,1655.0,2,97.65
Uttarahalli,1155.0,2,40.42
Sarjapur  Road,1300.0,3,70.0
Electronic City,1100.0,2,45.0
Doddathoguru,1030.0,2,42.0
Vittasandra,2105.0,2,70.2
Bhoganhalli,1700.0,3,126.0
Jakkur,1760.0,3,139.0
Kadugodi,6200.0,9,200.0
Other,1400.0,2,67.0
Other,1200.0,2,53.0
Bannerghatta Road,912.0,2,55.0
Whitefield,1102.0,2,48.0
Other,1535.0,3,55.0
Jigani,918.0,2,63.2
Begur Road,1500.0,3,70.0
Other,3000.0,3,250.0
Kasavanhalli,1476.0,3,89.0
Mysore Road,1200.0,2,65.0
Vijayanagar,606.0,1,34.78
Other,1100.0,2,61.0
Garudachar Palya,1295.0,3,59.5
Neeladri Nagar,527.0,1,26.0
OMBR Layout,1300.0,2,80.0
Bommanahalli,680.0,3,68.0
Other,1260.0,1,41.0
Koramangala,1140.0,2,75.2
Other,1500.0,1,37.5
Whitefield,2321.0,3,128.0
Sarjapur  Road,1390.0,2,62.0
Sarjapur  Road,1725.0,3,90.0
Hebbal,3067.0,4,310.0
Hennur Road,1186.0,3,63.0
Kanakpura Road,1230.0,2,85.0
Other,600.0,1,17.0
Yeshwanthpur,1313.0,3,96.0
Ambalipura,1250.0,2,66.25
HBR Layout,1200.0,9,280.0
Binny Pete,660.0,1,54.0
Basavangudi,1036.0,2,105.0
Koramangala,2700.0,4,450.0
Old Madras Road,1100.0,2,70.0
Devanahalli,1950.0,2,46.8
BTM 2nd Stage,1500.0,4,450.0
Singasandra,525.0,4,56.0
Electronics City Phase 1,1015.0,2,56.0
Gottigere,812.0,1,26.0
Other,1360.0,3,65.0
Nehru Nagar,2167.0,3,170.0
Raja Rajeshwari Nagar,1200.0,2,35.0
Other,1165.0,2,75.0
BTM 2nd Stage,1274.0,2,70.0
Raja Rajeshwari Nagar,1151.0,2,39.02
Vidyaranyapura,1060.0,6,110.0
Thubarahalli,1626.0,3,120.0
Banashankari Stage V,1035.0,2,35.77
Other,1272.0,3,75.0
Other,965.0,2,45.0
Other,1600.0,5,140.0
Kothannur,1070.0,2,42.79
Raja Rajeshwari Nagar,1570.0,3,65.0
Other,1286.0,2,38.0
Other,780.0,2,25.0
Other,1000.0,3,65.0
9th Phase JP Nagar,1200.0,4,188.0
Tindlu,7500.0,7,400.0
5th Phase JP Nagar,1700.0,3,100.0
Haralur Road,1850.0,3,110.0
Kereguddadahalli,904.0,2,30.0
Other,1121.0,2,43.72
7th Phase JP Nagar,1385.0,3,58.17
Sahakara Nagar,1270.0,2,69.85
Kanakpura Road,1450.0,3,56.0
Other,2400.0,3,325.0
Mahadevpura,730.0,1,35.0
Raja Rajeshwari Nagar,1580.0,3,53.56
Thanisandra,1111.0,2,50.0
Kengeri,1125.0,4,88.0
Varthur,977.0,2,36.0
Gunjur Palya,674.0,2,19.9
Nagarbhavi,600.0,3,83.0
Sarjapur,2540.0,4,115.0
Jakkur,1290.0,2,100.0
Kumaraswami Layout,600.0,3,98.0
Abbigere,795.0,2,32.54
Other,1463.0,2,142.0
Vijayanagar,1000.0,3,140.0
Other,1306.0,3,58.0
Other,2401.0,3,185.0
Bommenahalli,1670.0,4,135.0
Other,1875.0,3,235.0
Marsur,1200.0,3,90.0
Dodda Nekkundi,1804.0,3,121.0
1st Phase JP Nagar,2065.0,3,210.0
Hoskote,1225.0,3,40.0
Thanisandra,1185.5,2,58.68
Bellandur,900.0,2,56.0
Binny Pete,1350.0,2,91.0
Kaggalipura,700.0,1,36.0
Mysore Road,1005.0,2,35.175
Poorna Pragna Layout,1160.0,2,46.39
Hennur Road,1680.0,3,99.27
LB Shastri Nagar,1043.0,2,55.0
Hoskote,1200.0,4,120.0
Hebbal,1040.0,2,46.0
Tindlu,1357.0,3,65.0
Other,1600.0,7,104.0
Other,1225.0,2,47.0
Other,1500.0,9,80.0
Yelachenahalli,1130.0,2,40.0
Basavangudi,2500.0,4,150.0
Sultan Palaya,1700.0,3,120.0
Doddathoguru,1549.0,3,65.0
Yeshwanthpur,1400.0,2,100.0
Dodda Nekkundi,1080.0,2,50.0
Ulsoor,1180.0,2,100.0
Other,780.0,7,150.0
Domlur,1800.0,3,150.0
Other,890.0,1,75.0
Abbigere,1005.0,2,39.59
Whitefield,1320.0,2,95.0
Anandapura,1475.0,4,50.0
Kudlu Gate,1707.0,3,99.745
Other,1110.0,2,51.0
Other,1300.0,2,54.0
Other,600.0,5,86.0
Electronic City,1128.0,2,65.35
Jakkur,1452.19,2,100.0
Other,2400.0,3,290.0
Banashankari,2600.0,3,135.0
Sarakki Nagar,2500.0,3,325.0
Sanjay nagar,630.0,2,35.0
Hosa Road,1243.0,2,48.5
Other,960.0,2,32.0
Other,1690.0,3,100.0
Whitefield,735.0,2,35.0
Banaswadi,1365.0,2,73.0
Rajaji Nagar,2849.0,5,300.0
Hebbal,1420.0,2,99.39
Somasundara Palya,1570.0,3,68.0
Bisuvanahalli,850.0,2,32.0
7th Phase JP Nagar,1575.0,3,110.0
Thigalarapalya,1418.0,2,104.0
Uttarahalli,1050.0,2,42.0
Ulsoor,1340.0,3,90.0
Yelahanka New Town,1610.0,3,92.0
Electronic City Phase II,1160.0,2,33.5
Kudlu,1092.0,2,44.0
Yelahanka,1455.0,3,61.5
Abbigere,734.0,1,19.82
Other,799.0,2,38.0
Whitefield,1896.0,3,75.0
Ardendale,1100.0,2,48.0
Bellandur,1350.0,2,79.0
Other,1355.0,3,61.0
Other,1350.0,2,90.0
Cunningham Road,3875.0,3,864.0
Kasavanhalli,1493.0,3,82.0
8th Phase JP Nagar,1098.0,2,43.91
Banashankari,1900.0,3,170.0
Other,1460.0,3,88.0
Frazer Town,2350.0,3,285.0
Horamavu Banaswadi,1600.0,5,140.0
Varthur,1091.0,2,32.0
Yelahanka,1180.0,2,42.0
Kanakpura Road,1366.0,2,76.85
Other,1685.0,3,95.0
Koramangala,1260.0,2,100.0
Whitefield,3010.0,3,200.0
Ramamurthy Nagar,1330.0,3,140.0
Mallasandra,1200.0,2,130.0
Whitefield,1346.0,2,96.17
Chandapura,630.0,1,13.86
Sarjapur  Road,1476.0,3,98.94
7th Phase JP Nagar,1850.0,3,140.0
Frazer Town,2350.0,5,423.0
Electronic City,755.0,2,34.0
Other,800.0,5,98.0
Other,1194.0,2,46.0
Whitefield,3850.0,3,316.0
Hebbal,4235.0,4,365.0
Other,800.0,1,52.0
Rachenahalli,2250.0,3,195.0
Vijayanagar,1352.0,2,68.0
Thanisandra,2002.0,3,112.0
Other,4000.0,4,280.0
Kaval Byrasandra,1060.0,2,45.0
Kanakpura Road,1419.59,3,59.0
Raja Rajeshwari Nagar,1196.0,2,51.15
Electronic City,1220.0,3,35.24
Electronics City Phase 1,1595.0,3,75.0
Banashankari,1260.0,2,75.0
Hebbal,1100.0,2,47.0
Frazer Town,1550.0,2,140.0
ISRO Layout,1180.0,2,52.0
Electronic City,4000.0,4,150.0
Akshaya Nagar,1662.0,3,85.0
Akshaya Nagar,1080.0,4,75.0
Ambedkar Nagar,1862.0,3,119.0
Raja Rajeshwari Nagar,1419.0,2,48.0
Whitefield,1410.0,3,43.71
Raja Rajeshwari Nagar,1560.0,3,62.4
Other,1100.0,5,150.0
Thanisandra,1634.0,3,78.0
Ambedkar Nagar,5530.0,5,627.0
Whitefield,1150.0,3,44.0
Other,1100.0,2,53.0
Yelahanka,1616.0,3,65.0
Nagavarapalya,1392.0,2,99.0
Jakkur,1798.0,3,120.0
Babusapalaya,1675.0,3,75.0
Other,792.0,2,70.0
Other,2000.0,5,103.0
Other,600.0,7,89.0
Hebbal,1700.0,3,124.0
Hulimavu,1248.0,2,69.0
Kalkere,1147.0,2,54.0
Sultan Palaya,1100.0,2,40.0
Vijayanagar,1527.0,3,115.0
Other,2400.0,5,235.0
Kanakpura Road,525.0,1,25.0
Kaggadasapura,1100.0,2,58.0
Seegehalli,1118.0,2,37.5
Kanakapura,1476.0,3,75.0
Other,2100.0,3,75.0
Other,1215.0,3,46.5
Ambalipura,1332.0,2,79.0
Hennur Road,1350.0,2,49.0
Kothannur,600.0,4,81.0
NGR Layout,1105.0,2,49.73
Padmanabhanagar,1500.0,3,200.0
Kasavanhalli,1200.0,2,50.0
Ramagondanahalli,1251.0,2,47.4
Pai Layout,1400.0,3,67.0
Rajaji Nagar,1800.0,3,260.0
Hegde Nagar,1703.0,3,113.0
NRI Layout,2500.0,5,130.0
Varthur,1250.0,3,71.0
Jigani,933.0,2,43.0
Other,461.82,1,31.7
Brookefield,1262.0,2,75.0
Yelahanka,915.0,2,48.0
Panathur,1370.0,3,61.5
Malleshpalya,1210.0,2,55.0
Kodihalli,2392.0,3,260.0
Other,1500.0,3,85.0
Other,1065.0,2,50.0
Rajaji Nagar,3100.0,4,570.0
Ramamurthy Nagar,1515.0,3,65.0
Sarjapura - Attibele Road,1800.0,4,110.0
Thanisandra,1445.0,3,40.31
Uttarahalli,1300.0,3,55.0
Vijayanagar,989.0,2,60.0
Jakkur,1300.0,2,85.0
Chandapura,1185.0,3,30.22
Battarahalli,1350.0,5,110.0
Marathahalli,1045.0,2,60.0
Other,1205.0,2,42.18
Other,1260.0,2,75.0
Other,1320.0,5,199.0
Ulsoor,1500.0,3,125.0
Bommanahalli,1250.0,3,42.5
Other,1199.0,2,50.0
Other,1222.0,6,250.0
Lakshminarayana Pura,1149.0,2,75.0
Sarjapur  Road,2180.0,3,170.0
TC Palaya,1200.0,8,110.0
Other,12000.0,10,525.0
Other,1200.0,5,195.0
Hulimavu,1818.0,3,135.0
Other,1070.0,2,33.0
Rajaji Nagar,1640.0,3,241.0
Nagarbhavi,1350.0,3,54.6
Chandapura,630.0,2,27.0
Hoodi,1430.0,2,113.0
Nagavara,2430.0,3,180.0
Other,1500.0,6,220.0
Sarjapur  Road,1084.0,2,55.0
Hennur Road,1186.0,3,56.0
Kengeri,1255.0,2,50.0
Haralur Road,3400.0,4,240.0
Hosa Road,1541.0,3,69.84
Iblur Village,3596.0,4,282.0
Raja Rajeshwari Nagar,1295.0,2,70.0
Other,2820.0,3,285.0
7th Phase JP Nagar,1370.0,3,54.79
Electronic City,1100.0,2,40.0
Hebbal,4772.0,4,510.0
Rajaji Nagar,1370.0,2,170.0
JP Nagar,1200.0,2,62.0
Gunjur,2000.0,4,95.0
9th Phase JP Nagar,3500.0,4,300.0
2nd Stage Nagarbhavi,1200.0,5,240.0
Kengeri,2400.0,4,253.0
Sarjapur  Road,1220.0,3,62.0
Other,1950.0,3,130.0
Somasundara Palya,1178.0,2,73.0
Dasanapura,1286.0,3,61.44
Begur Road,1160.0,2,42.0
Jigani,918.0,2,55.0
Electronic City,1563.0,3,91.84
Other,1326.0,2,62.17
Hebbal,3960.0,4,386.0
Begur Road,1240.0,2,39.06
Kaggadasapura,1325.0,2,50.0
Sonnenahalli,1100.0,2,44.0
Cunningham Road,3875.0,3,800.0
Gollarapalya Hosahalli,1605.0,3,50.0
Hennur Road,5600.0,5,515.0
Somasundara Palya,1260.0,2,60.0
Hoodi,1553.0,3,83.09
Whitefield,1280.0,2,52.0
Hebbal,1550.0,3,75.0
Arekere,1445.0,3,125.0
Murugeshpalya,1550.0,3,74.0
Electronics City Phase 1,1515.0,3,80.91
Hosa Road,1332.0,3,86.12
Electronic City,1652.0,3,70.0
Hegde Nagar,1570.0,3,105.0
Sarjapur  Road,5400.0,4,725.0
Sector 2 HSR Layout,794.0,1,60.0
Seegehalli,1200.0,3,62.0
7th Phase JP Nagar,3600.0,4,410.0
Hosakerehalli,1200.0,3,175.0
JP Nagar,1650.0,4,220.0
Other,600.0,4,85.0
HRBR Layout,2800.0,3,250.0
Sarjapur  Road,1750.0,3,110.0
Hebbal,1053.0,2,48.0
Kadubeesanahalli,1665.0,3,70.0
Other,4051.0,4,345.0
Malleshwaram,5500.0,4,1500.0
Bommasandra,1447.0,3,80.0
Balagere,1012.0,2,75.0
Malleshpalya,1900.0,3,60.0
Other,1308.0,2,92.66
Hormavu,1351.0,1,53.0
Electronic City,1000.0,2,22.0
Other,1200.0,4,350.0
Gunjur,1140.0,2,49.11
Uttarahalli,1250.0,3,55.0
Garudachar Palya,1320.0,3,60.6
Akshaya Nagar,1662.0,3,85.5
Other,8321.0,5,2700.0
Koramangala,1975.0,3,210.0
Battarahalli,1777.0,3,100.0
Kadugodi,1900.0,3,108.0
Anandapura,1576.0,3,59.1
Sompura,1020.0,2,41.0
Other,2100.0,3,170.0
Raja Rajeshwari Nagar,648.0,1,31.75
Neeladri Nagar,1167.0,3,38.0
Other,1000.0,7,160.0
Hoodi,1220.0,2,50.89
Kogilu,2350.0,3,327.0
Vittasandra,1259.0,2,67.4
Gottigere,2000.0,4,82.0
8th Phase JP Nagar,1800.0,3,80.0
Other,1991.0,3,160.0
Bannerghatta,1665.0,3,110.0
Other,1234.0,2,61.0
Mysore Road,1340.0,3,64.31
Banashankari,1170.0,2,46.79
Electronics City Phase 1,995.0,2,46.0
Old Airport Road,1075.0,2,60.0
Electronic City,1025.0,2,54.5
Rachenahalli,2721.0,3,113.0
Thanisandra,2000.0,3,99.0
Whitefield,2500.0,4,155.0
Mallasandra,1325.0,2,70.0
Kadugodi,1314.0,2,68.2
Kanakpura Road,2265.0,3,136.0
7th Phase JP Nagar,4800.0,7,170.0
Yelahanka,1026.0,2,41.0
Other,1200.0,3,66.0
Other,2220.0,3,65.0
KR Puram,1192.5,2,51.22
Sarjapur  Road,1888.0,3,95.0
JP Nagar,1300.0,2,90.87
Rajaji Nagar,1216.0,2,97.16
Other,3000.0,4,342.0
Begur,1559.0,3,63.0
Harlur,1290.0,2,87.0
Other,2400.0,6,245.0
Whitefield,905.0,1,55.0
Sarjapura - Attibele Road,829.0,2,22.8
Koramangala,1900.0,2,200.0
Other,1286.0,5,140.0
Sarjapur  Road,1300.0,3,60.0
Channasandra,1115.0,2,33.45
Rajaji Nagar,2409.0,3,360.0
Ambedkar Nagar,2150.0,3,125.0
Marathahalli,1305.0,3,69.0
Kanakpura Road,1252.0,2,56.32
Hosakerehalli,2400.0,5,250.0
Whitefield,1200.0,2,46.13
Electronic City Phase II,545.0,2,35.0
Other,1375.0,2,105.0
Subramanyapura,1313.0,2,66.5
Attibele,3640.0,4,275.0
Other,1693.0,3,108.0
Other,1160.0,2,41.75
Other,1200.0,3,200.0
Subramanyapura,1255.0,3,79.0
KR Puram,1000.0,4,75.0
Yelahanka New Town,1700.0,3,90.0
Indira Nagar,1875.0,3,180.0
Uttarahalli,1700.0,3,88.0
Harlur,1749.0,3,115.0
Dasanapura,1500.0,2,65.0
Other,1175.0,2,48.0
Akshaya Nagar,1280.0,2,60.0
Ramagondanahalli,1610.0,3,115.0
Electronic City,1070.0,2,46.0
TC Palaya,1200.0,2,66.0
9th Phase JP Nagar,1127.0,2,50.0
Indira Nagar,1210.0,2,102.0
Other,600.0,2,23.0
Thigalarapalya,4190.0,4,380.0
Other,1364.0,2,70.0
Whitefield,2268.0,4,146.0
Other,1150.0,3,77.5
Other,1146.0,2,39.5
Magadi Road,1345.0,2,55.0
Other,1110.0,2,41.0
Kengeri,750.0,2,36.0
Other,1156.0,2,49.5
Pattandur Agrahara,1247.0,2,59.8
Other,1058.0,2,60.0
Kaggalipura,950.0,2,48.0
Vasanthapura,420.0,2,35.0
BTM 1st Stage,600.0,4,90.0
Vijayanagar,1520.0,3,103.0
Other,900.0,1,30.0
Hennur Road,2350.0,3,174.0
Thanisandra,1050.0,2,46.0
Other,1672.0,3,150.0
Laggere,2800.0,5,125.0
Other,1400.0,2,65.0
Whitefield,1286.0,4,378.0
8th Phase JP Nagar,2700.0,4,130.0
Bommasandra,920.0,2,37.46
Sarjapur  Road,1200.0,3,70.0
Other,1250.0,3,139.0
Hosakerehalli,1817.0,3,153.0
Cooke Town,2043.0,5,375.0
Yelahanka,4346.0,4,450.0
Haralur Road,1464.0,2,56.0
Other,1468.0,2,130.0
Electronics City Phase 1,1555.0,3,82.0
Munnekollal,1200.0,6,110.0
Whitefield,1150.0,2,55.0
Kadubeesanahalli,970.0,2,35.0
Banashankari,2500.0,4,95.0
Other,1166.0,2,53.0
Konanakunte,2779.0,3,317.0
Electronic City,1350.0,3,58.0
Other,900.0,2,46.0
Other,1190.0,3,55.0
Kodichikkanahalli,1495.0,3,75.0
Indira Nagar,1224.0,2,105.0
Banashankari Stage III,1350.0,3,68.0
Green Glen Layout,940.0,2,56.8
Raja Rajeshwari Nagar,1100.0,2,55.0
Kaikondrahalli,1300.0,2,61.0
Other,1480.0,3,145.0
Hoodi,1105.0,2,46.37
Sarjapur  Road,2600.0,3,200.0
Yelahanka,1517.0,3,76.3
Horamavu Banaswadi,3800.0,6,200.0
Jalahalli,1615.0,3,89.75
Mysore Road,1082.0,3,50.5
Marathahalli,1365.0,2,73.0
Electronic City,1000.0,2,25.0
CV Raman Nagar,1392.0,2,98.0
Kodigehalli,1086.0,2,33.66
Hennur Road,1586.0,3,93.94
Hennur,1100.0,2,60.0
Electronic City Phase II,1065.0,2,30.75
TC Palaya,1500.0,3,120.0
7th Phase JP Nagar,1575.0,3,120.0
Hennur Road,1975.0,3,123.0
Other,820.0,2,24.0
Gubbalala,1745.0,3,110.0
Nagarbhavi,1223.0,2,60.0
Ananth Nagar,1200.0,3,65.0
Basaveshwara Nagar,1200.0,2,90.0
Binny Pete,665.0,1,46.08
Bharathi Nagar,1351.0,2,70.0
Sector 7 HSR Layout,3900.0,3,300.0
Thanisandra,1588.0,3,75.55
Amruthahalli,900.0,2,60.0
Other,440.0,3,50.0
Harlur,3385.0,4,260.0
Panathur,1370.0,3,75.0
Whitefield,1500.0,3,71.8
Other,2280.0,3,285.0
Hoodi,1247.0,2,53.0
Other,2000.0,3,200.0
Balagere,1020.07,2,68.38
Gunjur Palya,1033.0,3,32.0
Other,1460.0,3,73.0
Garudachar Palya,1150.0,2,52.8
Sarjapur  Road,5965.0,5,385.0
Babusapalaya,1141.0,2,46.0
Yelahanka,2912.5,4,125.5
Doddaballapur,4200.0,4,325.0
Hosa Road,1665.0,3,125.0
Kanakapura,1295.0,2,64.0
Haralur Road,1230.0,2,78.0
Other,1080.0,3,75.0
Kaggalipura,1000.0,2,60.0
Kaval Byrasandra,2400.0,3,50.0
Whitefield,630.5,1,32.79
Rayasandra,1708.0,3,75.0
Thanisandra,1697.0,3,115.0
Whitefield,3537.0,4,210.0
Hosa Road,615.0,1,28.29
Banashankari,1350.0,3,83.0
Kanakpura Road,1530.0,3,66.4
Jalahalli,1083.0,2,32.49
Gottigere,1460.0,3,65.0
Babusapalaya,1084.0,2,58.0
Bommasandra,1035.0,2,41.43
Other,2400.0,3,150.0
Hosur Road,460.0,1,21.0
Other,950.0,5,90.0
Whitefield,1285.0,2,55.9
Other,2000.0,19,490.0
Sarjapur,1200.0,3,78.0
Other,1070.0,2,35.0
Hegde Nagar,1801.0,3,140.0
Whitefield,1697.0,3,115.0
AECS Layout,1199.0,2,65.0
Iblur Village,2300.0,3,220.0
Marathahalli,3800.0,4,205.0
Jigani,600.0,5,50.0
Other,1125.0,2,75.0
Anandapura,1200.0,2,67.0
Subramanyapura,1050.0,2,41.0
Nagarbhavi,956.0,2,49.0
Sarjapur,1000.0,2,30.0
Other,1596.0,3,95.0
Other,1200.0,6,150.0
Kanakpura Road,1296.0,2,89.06
Other,1200.0,6,170.0
Other,1639.0,3,123.0
Electronic City Phase II,1219.0,2,61.25
Uttarahalli,1200.0,3,50.0
Bannerghatta Road,1218.0,2,73.0
Other,920.0,2,37.0
Yeshwanthpur,2559.0,3,141.0
Other,525.0,1,26.0
Bannerghatta Road,1427.0,3,48.51
Kothannur,1270.0,3,45.0
Ramagondanahalli,920.0,2,65.0
Dommasandra,2700.0,4,68.0
Other,1740.0,3,199.0
Ramamurthy Nagar,1355.0,3,40.0
Lingadheeranahalli,1530.0,3,90.0
Other,1372.0,3,90.0
Nehru Nagar,2363.0,4,120.0
Marathahalli,3895.0,4,220.0
Jakkur,1950.0,3,131.0
Other,885.0,2,40.0
Yelahanka,600.0,2,27.0
Kumaraswami Layout,1270.0,5,128.0
Vijayanagar,1380.0,2,225.0
Kanakpura Road,1339.0,2,62.0
Whitefield,1130.0,2,36.0
Uttarahalli,1085.0,2,43.0
Yeshwanthpur,1430.0,3,72.0
Bhoganhalli,1451.5,4,121.0
Other,6200.0,5,720.0
Other,1490.0,3,59.6
Other,1650.0,4,99.0
Bellandur,1286.0,2,57.0
Other,925.0,2,63.0
Bellandur,3016.0,4,230.0
Haralur Road,1000.0,2,44.0
Whitefield,1215.0,2,39.0
Lakshminarayana Pura,1336.0,2,100.0
Yeshwanthpur,673.0,1,36.85
Anandapura,1200.0,2,58.0
Other,600.0,6,63.0
Malleshwaram,1600.0,3,160.0
Indira Nagar,2480.0,6,750.0
Other,2500.0,3,270.0
Devanahalli,2400.0,5,100.0
Sector 2 HSR Layout,1143.0,2,65.0
Kanakpura Road,1470.0,2,61.74
Other,1584.0,4,145.0
Marathahalli,1785.0,3,94.0
Koramangala,2292.0,3,286.0
Kothanur,1460.0,3,71.0
Kasturi Nagar,1500.0,3,80.0
Yelahanka,1200.0,5,140.0
Sanjay nagar,3300.0,5,250.0
Chikkalasandra,1230.0,2,48.0
Yelahanka New Town,650.0,1,20.0
Benson Town,1480.0,2,120.0
Thanisandra,1220.0,2,43.92
Other,1570.0,3,115.0
Sadashiva Nagar,3000.0,3,400.0
Mallasandra,1665.0,3,86.91
Other,1350.0,3,380.0
Sarjapur  Road,4000.0,4,600.0
Ramamurthy Nagar,1100.0,2,68.0
Kathriguppe,1350.0,3,87.01
Kasavanhalli,1719.0,3,116.0
Budigere,664.0,1,35.0
Sonnenahalli,1011.0,2,50.53
Other,2400.0,6,130.0
Other,1680.0,3,85.0
Yeshwanthpur,717.0,2,49.475
Thyagaraja Nagar,700.0,4,110.0
Whitefield,1520.0,3,150.0
Uttarahalli,1350.0,3,53.0
Kothanur,1760.0,3,150.0
Pattandur Agrahara,875.0,2,33.0
Hennur,1231.0,2,48.0
Somasundara Palya,1174.0,2,74.0
Munnekollal,1560.0,3,75.0
Other,1464.0,2,56.0
Kanakpura Road,2200.0,3,130.0
Shivaji Nagar,850.0,2,55.0
Other,1750.0,3,180.0
1st Phase JP Nagar,2024.0,3,157.0
Other,1500.0,2,160.0
Other,2100.0,6,275.0
Kodihalli,2408.0,3,260.0
Devanahalli,1080.0,2,44.0
Indira Nagar,2070.0,3,225.0
Electronic City,1020.0,2,29.46
Begur Road,1500.0,3,55.0
